Frequency(Hz),AC Status,Z,PH
1000.0,0, 207.144E+03, -15.188
1020.0,0, 204.290E+03, -14.842
1040.0,0, 203.025E+03, -14.605
1060.0,0, 203.194E+03, -14.534
1080.0,0, 205.763E+03, -14.368
1100.0,0, 207.465E+03, -14.293
1120.0,0, 211.568E+03, -14.095
1140.0,0, 218.876E+03, -14.478
1160.0,0, 217.304E+03, -14.387
1180.0,0, 214.085E+03, -14.155
1200.0,0, 211.461E+03, -13.822
1220.0,0, 210.005E+03, -13.593
1240.0,0, 207.562E+03, -13.555
1260.0,0, 203.468E+03, -13.467
1280.0,0, 197.838E+03, -13.504
1300.0,0, 193.464E+03, -13.468
1320.0,0, 191.128E+03, -13.368
1340.0,0, 189.722E+03, -13.255
1360.0,0, 189.725E+03, -13.177
1380.0,0, 189.139E+03, -13.212
1400.0,0, 188.987E+03, -13.068
1420.0,0, 189.701E+03, -12.815
1440.0,0, 190.806E+03, -12.594
1460.0,0, 193.316E+03, -12.670
1480.0,0, 199.256E+03, -12.771
1500.0,0, 202.010E+03, -12.788
1520.0,0, 201.477E+03, -12.714
1540.0,0, 200.540E+03, -12.588
1560.0,0, 199.951E+03, -12.652
1580.0,0, 197.338E+03, -12.630
1600.0,0, 194.076E+03, -12.415
1620.0,0, 190.018E+03, -12.251
1640.0,0, 187.092E+03, -12.165
1660.0,0, 186.750E+03, -12.282
1680.0,0, 186.697E+03, -12.155
1700.0,0, 187.988E+03, -12.217
1720.0,0, 189.828E+03, -12.349
1740.0,0, 191.774E+03, -12.527
1760.0,0, 192.166E+03, -12.401
1780.0,0, 193.675E+03, -12.362
1800.0,0, 195.729E+03, -12.510
1820.0,0, 197.822E+03, -12.539
1840.0,0, 202.977E+03, -12.615
1860.0,0, 206.828E+03, -12.623
1880.0,0, 208.033E+03, -12.828
1900.0,0, 207.455E+03, -12.728
1920.0,0, 205.919E+03, -12.623
1940.0,0, 206.667E+03, -12.682
1960.0,0, 207.672E+03, -12.910
1980.0,0, 206.192E+03, -12.662
2000.0,0, 204.875E+03, -12.538
2020.0,0, 203.235E+03, -12.555
2040.0,0, 201.889E+03, -12.629
2060.0,0, 201.750E+03, -12.514
2080.0,0, 203.192E+03, -12.424
2100.0,0, 209.968E+03, -12.771
2120.0,0, 215.713E+03, -12.900
2140.0,0, 215.531E+03, -12.922
2160.0,0, 214.586E+03, -12.872
2180.0,0, 212.548E+03, -12.822
2200.0,0, 210.439E+03, -12.550
2220.0,0, 207.882E+03, -12.565
2240.0,0, 205.428E+03, -12.576
2260.0,0, 204.455E+03, -12.543
2280.0,0, 203.772E+03, -12.302
2300.0,0, 203.015E+03, -12.313
2320.0,0, 202.228E+03, -12.392
2340.0,0, 201.152E+03, -12.330
2360.0,0, 200.502E+03, -12.233
2380.0,0, 198.743E+03, -12.127
2400.0,0, 197.922E+03, -12.087
2420.0,0, 196.706E+03, -12.107
2440.0,0, 195.984E+03, -12.019
2460.0,0, 195.049E+03, -11.930
2480.0,0, 193.606E+03, -12.013
2500.0,0, 192.148E+03, -11.883
2520.0,0, 191.102E+03, -11.896
2540.0,0, 190.806E+03, -11.699
2560.0,0, 190.039E+03, -11.699
2580.0,0, 189.748E+03, -11.770
2600.0,0, 189.450E+03, -11.731
2620.0,0, 188.736E+03, -11.570
2640.0,0, 188.301E+03, -11.476
2660.0,0, 187.910E+03, -11.598
2680.0,0, 187.618E+03, -11.576
2700.0,0, 187.631E+03, -11.455
2720.0,0, 187.127E+03, -11.391
2740.0,0, 187.110E+03, -11.430
2760.0,0, 186.452E+03, -11.426
2780.0,0, 185.887E+03, -11.238
2800.0,0, 185.987E+03, -11.230
2820.0,0, 185.787E+03, -11.303
2840.0,0, 185.245E+03, -11.190
2860.0,0, 184.877E+03, -11.093
2880.0,0, 184.257E+03, -11.129
2900.0,0, 183.825E+03, -11.143
2920.0,0, 182.666E+03, -11.125
2940.0,0, 181.739E+03, -10.988
2960.0,0, 181.012E+03, -11.026
2980.0,0, 180.067E+03, -11.007
3000.0,0, 179.531E+03, -10.858
3020.0,0, 179.187E+03, -10.748
3040.0,0, 178.463E+03, -10.922
3060.0,0, 178.272E+03, -10.849
3080.0,0, 177.778E+03, -10.810
3100.0,0, 177.537E+03, -10.801
3120.0,0, 177.208E+03, -10.645
3140.0,0, 176.832E+03, -10.610
3160.0,0, 176.826E+03, -10.621
3180.0,0, 176.479E+03, -10.606
3200.0,0, 175.971E+03, -10.573
3220.0,0, 175.472E+03, -10.508
3240.0,0, 175.241E+03, -10.559
3260.0,0, 174.679E+03, -10.330
3280.0,0, 174.382E+03, -10.367
3300.0,0, 174.229E+03, -10.257
3320.0,0, 173.503E+03, -10.367
3340.0,0, 172.854E+03, -10.204
3360.0,0, 172.012E+03, -10.107
3380.0,0, 172.319E+03, -10.015
3400.0,0, 172.452E+03,  -9.951
3420.0,0, 171.863E+03,  -9.984
3440.0,0, 171.819E+03,  -9.933
3460.0,0, 171.833E+03,  -9.829
3480.0,0, 171.674E+03,  -9.791
3500.0,0, 171.392E+03,  -9.768
3520.0,0, 171.174E+03,  -9.791
3540.0,0, 171.192E+03,  -9.716
3560.0,0, 170.966E+03,  -9.663
3580.0,0, 170.951E+03,  -9.654
3600.0,0, 170.776E+03,  -9.617
3620.0,0, 170.669E+03,  -9.677
3640.0,0, 170.260E+03,  -9.617
3660.0,0, 170.139E+03,  -9.613
3680.0,0, 170.175E+03,  -9.572
3700.0,0, 169.751E+03,  -9.558
3720.0,0, 169.712E+03,  -9.511
3740.0,0, 169.505E+03,  -9.545
3760.0,0, 169.111E+03,  -9.479
3780.0,0, 169.226E+03,  -9.492
3800.0,0, 168.927E+03,  -9.505
3820.0,0, 168.974E+03,  -9.409
3840.0,0, 169.103E+03,  -9.416
3860.0,0, 168.687E+03,  -9.379
3880.0,0, 168.713E+03,  -9.412
3900.0,0, 168.671E+03,  -9.327
3920.0,0, 168.633E+03,  -9.353
3940.0,0, 168.728E+03,  -9.276
3960.0,0, 168.712E+03,  -9.330
3980.0,0, 168.553E+03,  -9.259
4000.0,0, 168.624E+03,  -9.282
4020.0,0, 168.546E+03,  -9.177
4040.0,0, 168.058E+03,  -9.192
4060.0,0, 167.921E+03,  -9.242
4080.0,0, 167.443E+03,  -9.229
4100.0,0, 167.340E+03,  -9.111
4120.0,0, 166.851E+03,  -9.083
4140.0,0, 166.281E+03,  -9.138
4160.0,0, 165.939E+03,  -9.108
4180.0,0, 165.388E+03,  -9.101
4200.0,0, 165.276E+03,  -9.017
4220.0,0, 164.870E+03,  -9.033
4240.0,0, 164.818E+03,  -9.077
4260.0,0, 164.532E+03,  -9.014
4280.0,0, 164.542E+03,  -8.914
4300.0,0, 164.457E+03,  -8.940
4320.0,0, 164.023E+03,  -8.957
4340.0,0, 163.459E+03,  -8.854
4360.0,0, 162.287E+03,  -8.785
4380.0,0, 161.259E+03,  -8.726
4400.0,0, 159.972E+03,  -8.685
4420.0,0, 159.040E+03,  -8.573
4440.0,0, 158.588E+03,  -8.573
4460.0,0, 158.047E+03,  -8.509
4480.0,0, 157.684E+03,  -8.505
4500.0,0, 157.584E+03,  -8.447
4520.0,0, 157.345E+03,  -8.409
4540.0,0, 157.235E+03,  -8.472
4560.0,0, 156.986E+03,  -8.475
4580.0,0, 156.905E+03,  -8.401
4600.0,0, 156.846E+03,  -8.298
4620.0,0, 156.769E+03,  -8.334
4640.0,0, 156.742E+03,  -8.258
4660.0,0, 156.220E+03,  -8.365
4680.0,0, 155.680E+03,  -8.306
4700.0,0, 154.681E+03,  -8.388
4720.0,0, 154.033E+03,  -8.361
4740.0,0, 153.998E+03,  -8.360
4760.0,0, 153.497E+03,  -8.286
4780.0,0, 153.549E+03,  -8.347
4800.0,0, 153.023E+03,  -8.268
4820.0,0, 152.028E+03,  -8.346
4840.0,0, 151.881E+03,  -8.230
4860.0,0, 151.725E+03,  -8.167
4880.0,0, 151.612E+03,  -8.253
4900.0,0, 151.639E+03,  -8.179
4920.0,0, 151.458E+03,  -8.162
4940.0,0, 151.296E+03,  -8.201
4960.0,0, 151.082E+03,  -8.171
4980.0,0, 151.008E+03,  -8.126
5000.0,0, 150.955E+03,  -8.108
1000.0,0, 176.185E+03, -15.193
1020.0,0, 174.972E+03, -14.934
1040.0,0, 174.287E+03, -14.766
1060.0,0, 173.530E+03, -14.664
1080.0,0, 172.922E+03, -14.465
1100.0,0, 172.278E+03, -14.436
1120.0,0, 172.321E+03, -14.221
1140.0,0, 171.821E+03, -14.157
1160.0,0, 171.705E+03, -14.055
1180.0,0, 171.173E+03, -14.031
1200.0,0, 170.571E+03, -13.965
1220.0,0, 170.126E+03, -13.936
1240.0,0, 169.914E+03, -13.919
1260.0,0, 169.277E+03, -13.664
1280.0,0, 168.946E+03, -13.561
1300.0,0, 168.405E+03, -13.574
1320.0,0, 167.902E+03, -13.523
1340.0,0, 167.725E+03, -13.435
1360.0,0, 167.313E+03, -13.361
1380.0,0, 167.274E+03, -13.442
1400.0,0, 166.633E+03, -13.181
1420.0,0, 166.470E+03, -13.161
1440.0,0, 166.228E+03, -13.104
1460.0,0, 166.206E+03, -13.034
1480.0,0, 165.843E+03, -13.028
1500.0,0, 165.180E+03, -12.897
1520.0,0, 165.177E+03, -12.704
1540.0,0, 165.128E+03, -12.783
1560.0,0, 164.599E+03, -12.686
1580.0,0, 164.576E+03, -12.745
1600.0,0, 164.528E+03, -12.598
1620.0,0, 164.124E+03, -12.534
1640.0,0, 164.008E+03, -12.495
1660.0,0, 163.706E+03, -12.472
1680.0,0, 163.398E+03, -12.482
1700.0,0, 163.097E+03, -12.301
1720.0,0, 162.977E+03, -12.280
1740.0,0, 162.476E+03, -12.307
1760.0,0, 162.243E+03, -12.097
1780.0,0, 162.138E+03, -12.092
1800.0,0, 161.968E+03, -12.097
1820.0,0, 161.683E+03, -12.131
1840.0,0, 161.404E+03, -12.045
1860.0,0, 161.447E+03, -11.960
1880.0,0, 161.289E+03, -11.901
1900.0,0, 161.274E+03, -11.898
1920.0,0, 161.104E+03, -11.873
1940.0,0, 160.958E+03, -11.747
1960.0,0, 160.624E+03, -11.928
1980.0,0, 160.361E+03, -11.757
2000.0,0, 160.298E+03, -11.600
2020.0,0, 160.038E+03, -11.693
2040.0,0, 159.948E+03, -11.623
2060.0,0, 159.589E+03, -11.609
2080.0,0, 159.208E+03, -11.525
2100.0,0, 159.026E+03, -11.485
2120.0,0, 158.799E+03, -11.465
2140.0,0, 158.638E+03, -11.500
2160.0,0, 158.597E+03, -11.426
2180.0,0, 158.487E+03, -11.552
2200.0,0, 158.271E+03, -11.290
2220.0,0, 158.168E+03, -11.256
2240.0,0, 157.760E+03, -11.215
2260.0,0, 158.021E+03, -11.253
2280.0,0, 157.804E+03, -11.189
2300.0,0, 157.758E+03, -11.209
2320.0,0, 157.668E+03, -11.045
2340.0,0, 157.562E+03, -11.059
2360.0,0, 157.304E+03, -11.093
2380.0,0, 157.304E+03, -10.996
2400.0,0, 157.218E+03, -10.952
2420.0,0, 157.023E+03, -10.907
2440.0,0, 156.860E+03, -10.868
2460.0,0, 156.702E+03, -10.929
2480.0,0, 156.709E+03, -10.841
2500.0,0, 156.534E+03, -10.719
2520.0,0, 156.283E+03, -10.763
2540.0,0, 156.110E+03, -10.746
2560.0,0, 156.236E+03, -10.691
2580.0,0, 156.082E+03, -10.655
2600.0,0, 155.839E+03, -10.606
2620.0,0, 155.786E+03, -10.632
2640.0,0, 155.816E+03, -10.568
2660.0,0, 155.464E+03, -10.533
2680.0,0, 155.446E+03, -10.566
2700.0,0, 155.238E+03, -10.498
2720.0,0, 155.548E+03, -10.340
2740.0,0, 156.859E+03, -10.369
2760.0,0, 161.350E+03, -10.449
2780.0,0, 164.960E+03, -10.369
2800.0,0, 172.453E+03, -10.581
2820.0,0, 182.922E+03, -10.729
2840.0,0, 204.256E+03, -11.378
2860.0,0, 223.972E+03, -11.576
2880.0,0, 236.735E+03, -11.375
2900.0,0, 247.793E+03, -11.895
2920.0,0, 301.067E+03, -14.158
2940.0,0, 486.580E+03, -15.266
2960.0,0, 590.820E+03, -15.011
2980.0,0, 501.679E+03, -15.413
3000.0,0, 484.405E+03, -14.598
3020.0,0, 43.5416E+06, -91.612
